name,category,n_herbs,n_components,mean_D,d_span,overall_ci,ci_jun,n_states,fci,missing
参苓白术散,补气,27,9,1.5888888888888888,0.3700000000000001,0.2764426955775591,0.9706306625197868,2,0.8224391987559361,
肾气丸,补阳,24,8,1.5779166666666666,0.3500000000000001,0.2772354702068792,0.8244801107328881,4,0.8160940332198665,
八珍汤,气血双补,24,8,1.5933333333333335,0.30000000000000004,0.32901408887925915,0.7204119355463899,3,0.7536235806639171,
六味地黄丸,补阴,18,6,1.596111111111111,0.33000000000000007,0.3547647510247265,0.8244801107328881,3,0.7535940332198665,
四物汤,补血,12,4,1.5708333333333335,0.30000000000000004,0.2782910425798014,0.8244801107328881,2,0.7348440332198665,
归脾汤,补血,27,9,1.5877777777777777,0.33000000000000007,0.3371004037493709,0.6360597270843621,2,0.6970679181253088,
补中益气汤,补气,21,7,1.5852380952380951,0.30000000000000004,0.3535276769972093,0.664493388744366,2,0.6868480166233097,
血府逐瘀汤,理血,33,11,1.5715151515151515,0.30000000000000004,0.300173620019048,0.15700942397946926,5,0.6846028271938409,
酸枣仁汤,安神,15,5,1.5846666666666667,0.30000000000000004,0.36209860626157203,0.6177606498410085,2,0.6728281949523025,
四逆汤,温里,9,3,1.5544444444444445,0.28,0.23593432984950047,0.7302547668119542,2,0.6440764300435863,
藿香正气散,祛湿,33,11,1.5312121212121212,0.3700000000000001,0.15525760777585196,0.001420024846363038,4,0.631676007453909,
当归四逆汤,温里,21,7,1.5452380952380953,0.3400000000000001,0.20243943435995004,0.016405582683779483,4,0.617421674805134,
四君子汤,补气,12,4,1.6158333333333335,0.27,0.3797371351787169,0.6074912596926528,1,0.600997377907796,
白虎汤,清热,11,4,1.5,0.6699999999999999,0.39179817827042773,5.930210208185992e-52,3,0.6000000000000001,
逍遥散,和解,24,8,1.5512499999999998,0.3400000000000001,0.23569877205059472,0.0875345803153024,3,0.5887603740945908,
小柴胡汤,和解,21,7,1.5676190476190477,0.33000000000000007,0.30142059922561865,0.0875345803153024,3,0.5825103740945907,
银翘散,解表,27,9,1.5325925925925927,0.3400000000000001,0.2502997750848101,0.04001571476627176,3,0.5745047144298816,
当归补血汤,补血,6,2,1.6133333333333333,0.27,0.2976035565973096,0.664493388744366,2,0.5680980166233098,
桂枝汤,解表,15,5,1.5479999999999998,0.32000000000000006,0.26758787977427645,2.9956475257274896e-05,3,0.5500089869425773,
二陈汤,祛痰,12,4,1.5775,0.33000000000000007,0.2688598845803953,0.0875345803153024,2,0.5325103740945908,
黄连解毒汤,清热,12,4,1.5641666666666667,0.09000000000000008,0.39214073491915524,0.5606638672798478,2,0.5244491601839545,
五苓散,祛湿,15,5,1.5566666666666669,0.32000000000000006,0.12507687699849065,0.016405582683779178,3,0.5049216748051338,
麻黄汤,解表,12,4,1.4791666666666667,0.2400000000000002,0.14662063163760383,1.694032902650487e-09,3,0.5000000005082099,
柴胡疏肝散,理气,21,7,1.522857142857143,0.27,0.2783894364312878,0.0875345803153024,2,0.49501037409459075,
理中丸,温里,12,4,1.5733333333333333,0.28,0.3271755438967227,0.001420024846363038,2,0.47542600745390895,
平胃散,祛湿,12,4,1.5058333333333334,0.2400000000000002,0.2176865368309577,9.035501083429385e-08,2,0.4500000271065034,
