idx,name,category,D_exp,py_five_state,theory_five_state,consistent,deviation,critical_index,therapeutic_index_DNA,rdkit_calibrated,note
1,柠檬烯,中药,1.38,火态,火态,True,0.1200000000000001,1.4358815912312723e-10,0.35179798507004445,True,
2,桂皮醛,中药,1.4,火态,火态,True,0.10000000000000009,5.516467649421616e-09,0.5137619090625042,True,
3,薄荷醇,中药,1.41,火态,火态,True,0.09000000000000008,3.0326127869578384e-08,0.5941243287951822,True,
4,麻黄碱,中药,1.42,火态,火态,True,0.08000000000000007,1.5389669365163615e-07,0.6688444586792317,True,
5,阿魏酸,中药,1.47,木态,火态,False,0.13000000000000012,0.00015600465208813211,0.906830969827459,True,
6,辣椒素,中药,1.48,火态,火态,True,0.020000000000000018,0.0004898786649459345,0.9301283893194162,True,
7,苦参碱,中药,1.5,木态,火态,False,0.10000000000000009,0.0037997918119326854,0.961669432368086,False,估算值
8,丹参酮IIA,中药,1.55,木态,木态,True,0.050000000000000044,0.15700942397947115,0.9928261562415343,False,估算值
9,栀子苷,中药,1.56,木态,木态,True,0.040000000000000036,0.25997298945125047,0.9950932714527969,False,估算值
10,穿心莲内酯,中药,1.56,木态,木态,True,0.040000000000000036,0.25997298945125047,0.9950932714527969,False,估算值
11,黄芩素,中药,1.56,木态,木态,True,0.040000000000000036,0.25997298945125047,0.9950932714527969,True,
12,芹菜素,中药,1.56,木态,木态,True,0.040000000000000036,0.25997298945125047,0.9950932714527969,True,
13,青蒿素,中药,1.57,木态,木态,True,0.030000000000000027,0.3973627728247219,0.9967191717372428,False,估算值
14,汉黄芩素,中药,1.57,木态,木态,True,0.030000000000000027,0.3973627728247219,0.9967191717372428,True,近临界
15,木犀草素,中药,1.57,木态,木态,True,0.030000000000000027,0.3973627728247219,0.9967191717372428,True,近临界
16,染料木素,中药,1.57,木态,木态,True,0.030000000000000027,0.3973627728247219,0.9967191717372428,True,近临界
17,白藜芦醇,中药,1.58,木态,木态,True,0.020000000000000018,0.5606638672798478,0.9978669879141275,True,近临界
18,槲皮素,中药,1.58,木态,木态,True,0.020000000000000018,0.5606638672798478,0.9978669879141275,True,近临界
19,芍药苷,中药,1.58,木态,木态,True,0.020000000000000018,0.5606638672798478,0.9978669879141275,False,估算值
20,茶多酚EGCG,中药,1.59,木态,木态,True,0.010000000000000009,0.7302547668119579,0.9986611064641675,True,近临界
21,黄芩苷,中药,1.59,木态,木态,True,0.010000000000000009,0.7302547668119579,0.9986611064641675,False,估算值
22,乌头碱,中药,1.59,木态,木态,True,0.010000000000000009,0.7302547668119579,0.9986611064641675,False,估算值
23,橙皮苷,中药,1.59,木态,木态,True,0.010000000000000009,0.7302547668119579,0.9986611064641675,False,估算值
24,淫羊藿苷,中药,1.6,木态,木态,True,0.0,0.8780164936083577,0.9991963213950122,False,估算值
25,黄连素,中药,1.61,土态,木态,False,0.039999999999999813,0.9745124443871047,0.9995448187527867,True,★临界区
26,丹酚酸B,中药,1.61,土态,木态,False,0.039999999999999813,0.9745124443871047,0.9995448187527867,False,估算值
27,黄芪甲苷,中药,1.62,土态,木态,False,0.029999999999999805,0.9984551144719018,0.9997614659929634,False,估算值
28,姜黄素,中药,1.63,土态,土态,True,0.020000000000000018,0.9443351254197014,0.9998877918672451,True,★临界区
29,三七皂苷R1,中药,1.63,土态,土态,True,0.020000000000000018,0.9443351254197014,0.9998877918672451,False,估算值
30,人参皂苷Rb1,中药,1.65,土态,土态,True,0.0,0.6644933887443698,0.9999859707010531,False,估算值
31,丙酮酸,代谢物,1.33,火态,火态,True,0.16999999999999993,3.870349932702658e-15,0.08486211798146853,False,估算值
32,乳酸,代谢物,1.34,火态,火态,True,0.15999999999999992,3.724869217599764e-14,0.11796468621376131,False,估算值
33,肌酸,代谢物,1.38,火态,火态,True,0.1200000000000001,1.4358815912312723e-10,0.35179798507004445,True,
34,柠檬酸,代谢物,1.42,火态,火态,True,0.08000000000000007,1.5389669365163615e-07,0.6688444586792317,False,估算值
35,尿酸,代谢物,1.45,木态,火态,False,0.15000000000000013,1.2445287135158695e-05,0.8389958672295977,True,
36,谷胱甘肽,代谢物,1.5,木态,火态,False,0.10000000000000009,0.0037997918119326854,0.961669432368086,True,
37,cAMP,代谢物,1.52,木态,火态,False,0.08000000000000007,0.021402122490235653,0.9796925654973226,True,
38,辅酶Q10,代谢物,1.56,木态,木态,True,0.040000000000000036,0.25997298945125047,0.9950932714527969,True,
39,ATP,代谢物,1.57,金态,木态,False,0.17999999999999994,0.3973627728247219,0.9967191717372428,True,近临界
40,NAD+,代谢物,1.6,金态,木态,False,0.1499999999999999,0.8780164936083577,0.9991963213950122,True,★临界区
41,DDT,有机毒物,1.43,火态,火态,True,0.07000000000000006,7.209382342752812e-07,0.7352506893273683,True,
42,双酚A,有机毒物,1.44,火态,火态,True,0.06000000000000005,3.117620647443154e-06,0.792014712398555,True,
43,二噁英,有机毒物,1.48,木态,火态,False,0.1200000000000001,0.0004898786649459345,0.9301283893194162,True,
44,褪黑素,激素,1.48,水态,火态,False,0.3700000000000001,0.0004898786649459345,0.9301283893194162,True,
45,睾酮,激素,1.5,火态,火态,True,0.0,0.0037997918119326854,0.961669432368086,True,
46,雌二醇,激素,1.51,金态,火态,False,0.24,0.009385990346738092,0.9719677865818845,True,
47,皮质醇,激素,1.52,水态,火态,False,0.33000000000000007,0.021402122490235653,0.9796925654973226,True,
48,孕酮,激素,1.53,土态,火态,False,0.11999999999999988,0.045049505571806724,0.9854475819242977,False,估算值
49,甲状腺素,激素,1.56,火态,木态,False,0.06000000000000005,0.25997298945125047,0.9950932714527969,True,
50,催产素,激素,1.62,金态,木态,False,0.1299999999999999,0.9984551144719018,0.9997614659929634,False,估算值
51,胰岛素,激素,1.65,土态,土态,True,0.0,0.6644933887443698,0.9999859707010531,False,估算值
52,乙酰胆碱,神经递质,1.36,火态,火态,True,0.1399999999999999,2.713950644848532e-12,0.2142984537738585,True,
53,GABA,神经递质,1.38,水态,火态,False,0.4700000000000002,1.4358815912312723e-10,0.35179798507004445,True,
54,组胺,神经递质,1.39,木态,火态,False,0.2100000000000002,9.263212584525517e-10,0.43155477823008376,True,
